name,artists,id_artists,release_year,popularity,duration_minutes,key,mode,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Shattered,Paradise Lost,0gIo6kGl4KsCeIbqtZVHYp,1991,24,3.968,Sol,0,1,0.245,0.979,-6.252,0.205,6.10E-05,0.842,0.332,0.131,122.02
Ich will bei Dir sein,Peter Maffay,5W3s4beu23rOlseCbVOp4l,1991,19,4.837783333,Si,0,0,0.726,0.469,-11.497,0.0249,0.193,1.31E-05,0.461,0.579,99.619
Koohe Yakh,Ebi,3pI1XXzzKOYdYCLWurc2Ky,1991,12,5.333333333,Mi,0,0,0.558,0.543,-9.093,0.0257,0.604,0.212,0.131,0.442,108.598
I'm On Your Side,Jennifer Holliday,2ju2ZxMe9yBOnt1MkWo32t,1991,23,5.554216667,Sol,1,0,0.295,0.47,-9.867,0.0433,0.284,4.16E-06,0.142,0.364,82.549
Rapture,Paradise Lost,0gIo6kGl4KsCeIbqtZVHYp,1991,23,5.164216667,Do,1,1,0.0945,0.94,-5.123,0.0947,0.00106,0.648,0.291,0.206,170.787
Big Bird,Eddie Floyd,6Bfy6QzadCXS92y0T8dDZF,1991,28,3.000216667,Mi,0,0,0.538,0.687,-8.426,0.0332,0.00116,0.00645,0.206,0.634,115.071
Move!,Public Enemy & Sister Souljah,6Mo9PoU6svvhgEum7wh2Nd,1991,25,4.997783333,Re(b),1,1,0.719,0.766,-8.636,0.207,0.000468,0,0.361,0.114,108.812
Eternal,Paradise Lost,0gIo6kGl4KsCeIbqtZVHYp,1991,24,3.779116667,Sol,0,1,0.215,0.973,-4.857,0.131,0.000258,0.108,0.0413,0.0522,128.437
Battle 2,Nobuo Uematsu,3V79CTgRnsDdJSTqKitROv,1991,35,1.219333333,Re(b),1,0,0.291,0.583,-9.116,0.0339,0.000498,0.94,0.339,0.461,172.04
Love M.D.,Tony Joe White,6QvgWa4x3Ij4tvBpFMo11P,1991,25,3.7107,La,1,0,0.721,0.438,-15.1,0.0372,0.0143,0.148,0.116,0.414,134.216
Breeding Fear (Demolition Dub),Paradise Lost,0gIo6kGl4KsCeIbqtZVHYp,1991,16,4.796666667,Re(b),1,1,0.216,0.972,-6.648,0.129,1.27E-05,0.401,0.379,0.0411,124.142
Ein Traum wird wahr,Sabine Hettlich & Peter Fessler,4kkmdWJaq4sXwMsnnnjC3K,1992,25,2.682216667,Do,1,0,0.228,0.265,-13.248,0.0364,0.751,0,0.107,0.373,87.912
